well;ID;sample;dominant_family;percentage;reads_spikein;reads
I23-1327-A01_S414_R1_001;I23-1327-A01;postive;Hominidae;2,96;15824;177255
I23-1327-A02_S430_R1_001;I23-1327-A02;negative ;0;0;0;104
I23-1327-A03_S446_R1_001;I23-1327-A03;sample;Sphingobacteriaceae;15,8;715;6103
I23-1327-A04_S462_R1_001;I23-1327-A04;sample;Xanthomonadaceae;73,47;147;1515
I23-1327-A05_S478_R1_001;I23-1327-A05;sample;Micrococcaceae;15,86;372;4004
I23-1327-A06_S494_R1_001;I23-1327-A06;sample;Xanthomonadaceae;70,17;1264;11605
I23-1327-A07_S510_R1_001;I23-1327-A07;sample;Sphingobacteriaceae;15,71;2622;21730
I23-1327-A08_S526_R1_001;I23-1327-A08;sample;Xanthomonadaceae;71,2;12057;120695
I23-1327-A09_S542_R1_001;I23-1327-A09;sample;Xanthomonadaceae;70,71;280;3198
I23-1327-A10_S558_R1_001;I23-1327-A10;sample;Rhizobiaceae;12,49;12712;136223
I23-1327-A11_S574_R1_001;I23-1327-A11;sample;Rhizobiaceae;87,7;9632;96010
I23-1327-A12_S590_R1_001;I23-1327-A12;sample;Rhizobiaceae;12,05;83;809
I23-1327-A13_S606_R1_001;I23-1327-A13;sample;Comamonadaceae;36,75;117;1668
I23-1327-A14_S622_R1_001;I23-1327-A14;sample;Microbacteriaceae;13,55;15030;156031
I23-1327-A15_S638_R1_001;I23-1327-A15;sample;Streptomycetaceae;85,88;6634;51532
I23-1327-A16_S654_R1_001;I23-1327-A16;sample;Micrococcaceae;29,88;12615;123197
I23-1327-A17_S670_R1_001;I23-1327-A17;sample;Pseudomonadaceae;68,26;8909;75426
I23-1327-A18_S686_R1_001;I23-1327-A18;sample;Xanthomonadaceae;22,15;289;2245
I23-1327-A19_S702_R1_001;I23-1327-A19;sample;Xanthomonadaceae;64,85;13543;129147
I23-1327-A20_S718_R1_001;I23-1327-A20;sample;Micrococcaceae;24,01;6297;62755
I23-1327-A21_S734_R1_001;I23-1327-A21;sample;Pseudomonadaceae;73,71;5231;51065
I23-1327-A22_S750_R1_001;I23-1327-A22;sample;Xanthomonadaceae;50,04;6926;83657
I23-1327-A23_S766_R1_001;I23-1327-A23;sample;Pseudomonadaceae;67,82;8897;89408
I23-1327-A24_S782_R1_001;I23-1327-A24;sample;Bacillaceae;86,04;7233;72313
I23-1327-B01_S415_R1_001;I23-1327-B01;postive;Hominidae;3,21;12557;138199
I23-1327-B02_S431_R1_001;I23-1327-B02;negative ;Microbacteriaceae;11,11;9;119
